1357594,58.66%,41.34%,53.65%,0.49%,17.89%,0.00%,0.00%,10.07%,17.90%
2293055,45.23%,54.77%,15.79%,0.33%,67.58%,0.10%,0.00%,4.43%,11.77%
106408,17.41%,82.59%,38.59%,2.50%,7.83%,3.25%,13.44%,3.39%,30.99%
3263120,38.47%,61.53%,32.89%,1.06%,55.89%,0.01%,0.00%,2.43%,7.71%
59679039,42.20%,57.80%,44.39%,0.85%,44.11%,0.09%,0.06%,2.36%,8.14%
3021833,45.73%,54.27%,23.15%,0.14%,14.08%,0.11%,0.00%,2.21%,60.31%
90095908,24.96%,75.04%,33.68%,0.66%,59.55%,0.42%,1.00%,1.45%,3.25%
7583423,47.52%,52.48%,28.50%,1.83%,36.38%,0.35%,0.01%,6.74%,26.20%
6382226,42.41%,57.59%,16.11%,0.14%,77.61%,0.55%,0.04%,1.30%,4.25%
13685223,52.26%,47.74%,49.14%,0.66%,13.38%,0.15%,0.00%,5.35%,31.32%
1425018,45.45%,54.55%,15.78%,0.27%,81.19%,0.00%,0.00%,1.45%,1.31%
1665515,53.54%,46.46%,32.69%,1.62%,38.97%,1.66%,0.00%,9.69%,15.38%
21802313,53.54%,46.46%,27.28%,1.59%,65.63%,0.05%,1.23%,1.29%,2.93%
14163119,26.67%,73.33%,18.10%,0.82%,60.87%,1.20%,0.00%,3.59%,15.42%
12747808,46.15%,53.85%,32.05%,0.83%,14.69%,0.13%,0.00%,32.84%,19.46%
1763582,51.11%,48.89%,44.98%,0.48%,44.39%,0.03%,0.00%,1.11%,9.01%
7423046,30.74%,69.26%,18.16%,0.94%,22.47%,0.01%,0.00%,55.14%,3.27%
820764,41.32%,58.68%,64.91%,8.39%,7.43%,0.00%,0.00%,5.04%,14.23%
5259579,41.23%,58.77%,41.16%,0.61%,48.05%,0.02%,0.00%,3.23%,6.92%
11733574,48.10%,51.90%,13.72%,0.40%,55.82%,0.20%,4.90%,24.71%,0.26%
2789699,26.67%,73.33%,44.00%,1.29%,30.55%,3.67%,18.53%,0.62%,1.34%
5170684,24.12%,75.88%,44.60%,1.73%,32.57%,3.30%,12.67%,2.31%,2.81%
32286735,22.41%,77.59%,14.76%,0.16%,77.84%,0.25%,0.00%,1.27%,5.71%
39621802,41.53%,58.47%,12.98%,1.11%,78.38%,1.12%,0.00%,1.16%,5.24%
6050291,25.99%,74.01%,45.21%,4.09%,16.02%,4.25%,9.81%,2.96%,17.66%
12795328,38.41%,61.59%,60.38%,0.49%,27.93%,0.01%,0.00%,9.18%,2.00%
5485720,46.12%,53.88%,91.06%,4.98%,3.49%,0.01%,0.00%,0.15%,0.30%
74711333,30.38%,69.62%,14.23%,0.75%,64.35%,0.11%,0.06%,6.53%,13.98%
5224278,24.37%,75.63%,22.62%,0.74%,66.00%,0.15%,7.23%,2.80%,0.45%
53784914,42.66%,57.34%,66.91%,1.89%,8.22%,0.02%,0.00%,13.99%,8.96%
