"36 Illiliwa Street Cremorne, NSW, 2090",LOT 1 DP1042710 & LOT 12 DP5107 SEC B,Residential,500,4,3,2,1920,"27 May 2019:$3,100,000、8 Dec 1995:$420,000、"
"10 Harrison Street Cremorne, NSW, 2090",LOT 30 DP2989 & LOT 1 DP927170,Residential,594,4,2,2,1907,"25 May 2019:$4,000,000、14 Dec 2000:$1,190,000、1 Jun 1999:$905,500、23 Aug 1994:$725,000、26 Nov 1992:$510,000、17 Oct 1992:$510,000、"
"54 Macpherson Street Cremorne, NSW, 2090",LOT A DP434170,Residential,354,3,1,2,1920,"24 May 2019:$2,035,000、30 Mar 2012:$1,200,000、5 Jul 2006:$1,035,000、20 Dec 2002:$900,000、16 Apr 1994:$418,000、24 Aug 1993:$1、5 Nov 1986:$115,000、"
"3 Earle Street Cremorne, NSW, 2090",LOT 8 DP87987,Residential,582,4,3,1,1920,"16 May 2019:$3,300,000、6 Jun 2003:$1,745,000、1 Nov 1991:$349,000、"
"33 Bogota Avenue Cremorne, NSW, 2090",LOT 7 DP82855,Residential,"1,012",6,2,4,1913,"1 May 2019:$5,260,000、22 Mar 2011:$4,000,000、19 Feb 1998:$1,430,000、4 Dec 1992:$1,100,000、"
"4 Bertha Road Cremorne, NSW, 2090",LOT A DP350785,Residential,"1,435",5,4,2,0,"13 Apr 2019:$8,000,000、2 Oct 2009:$4,500,000、1 Nov 1993:$1,100,000、19 Oct 1984:$410,000、"
"12 Langley Avenue Cremorne, NSW, 2090",LOT C DP962244,Medium Density Residential,440,4,2,1,1905,"8 May 2019:$2,560,000、23 Jun 2016:$2,385,000、25 Sep 2007:$1,600,000、23 Sep 2004:$1,351,000、6 Feb 1996:$617,500、6 Feb 1987:$135,000、"
"29 Ryries Parade Cremorne, NSW, 2090",LOT A DP344175,Residential,531,4,2,1,1939,"1 May 2019:$0、1 May 2019:$4,100,000、10 Apr 2019:$0、27 Nov 2000:$800,000、22 Sep 1987:$9,999,999、"
"34 Waters Lane Cremorne, NSW, 2090",LOT 1 DP597028,Medium Density Residential,307,3,2,2,1980,"30 Mar 2019:$2,330,000、27 Sep 2016:$1,713,050、21 Sep 2001:$700,000、9 Apr 1992:$337,500、"
"24 Montague Road Cremorne, NSW, 2090",LOT B DP405969,Residential,357,3,1,1,0,"29 Mar 2019:$2,275,000、28 Aug 2008:$1,236,000、17 Oct 1991:$375,000、"
"22 Richmond Avenue Cremorne, NSW, 2090",LOT 28 DP5210 SEC B,Residential,697,4,2,2,1900,"27 Mar 2019:$0、4 May 2018:$4,850,000、10 Oct 2016:$0、31 Aug 2010:$3,300,000、21 Jan 2002:$1,685,000、18 Jan 1994:$645,000、3 Nov 1992:$630,000、"
"63 Sutherland Street Cremorne, NSW, 2090",LOT 1 DP174770,Residential,310,3,1,2,1910,"19 Mar 2019:$1,970,000、22 Aug 1994:$303,000、"
